YBCNo	Block	Gene_Pool	Part_of_ADP	ID	Country	Source	Genotype	Genotype_edited	Seed_colors	Market_class	IDF	SDF	IDFplusSDF	Raffinose	Stachyose	Verbascose	TotalOligos	ConfirmedTDF	Cooking_time	Fe_conc	Fe_bio	Cooking_class	Dry_seed30	Soaked_seed30	Cooked_seed25	HSW_Dry
YBC206	2	Admix	n	PR-1146-138	Puerto Rico	Jim Beaver	PR-1146-138	PR1146-138	Greenish yellow	Mayocoba	18.52985227	6.424669475	24.95452175	0.113232523	1.601814364	0.373593957	2.088640845	27.04316259	31.68333333	76.93	104	3	12.713	25.148	26.701	42.37666667
YBC245	1	Admix	n	CAN   96	Colombia	CIAT	CAN   96	CAN   96	Yellow	Mayocoba	18.96266195	6.894357827	25.85701978	0.142011739	1.779252683	0.339506412	2.260770835	28.11779062	40.86666667	85.02	60	3	10.377	21.68	21.677	34.59
YBC245	2	Admix	n	CAN   96	Colombia	CIAT	CAN   96	CAN   96	Yellow	Mayocoba	18.69571447	6.845128485	25.54084296	0.112496802	1.51089439	0.362850713	1.986241905	27.52708486	46.31666667	88.29	75	3	10.5	21.725	20.747	35
YBC197	1	Andean	n	CO_YL22	United States	M. Brick/CSU	CO_YL22	CO_YL22	Greenish yellow	Mayocoba	16.83648008	5.795286607	22.63176669	0.175434007	1.837735278	0.4188722	2.432041485	25.06380817	19.01666667	68.84	108	1	13.828	27.922	27.12	46.09333333
YBC197	2	Andean	n	CO_YL22	United States	M. Brick/CSU	CO_YL22	CO_YL22	Greenish yellow	Mayocoba	16.37113261	6.027147856	22.39828047	0.176987933	1.931158657	0.494882546	2.603029136	25.0013096	18.36666667	89.47	112	1	13.082	26.662	27.742	43.60666667
YBC239	1	Andean	n	CAN   79	Colombia	CIAT	CAN   79	CAN   79	Lemon yellow	Mayocoba	16.46153953	6.111753278	22.57329281	0.150116008	2.168904196	0.386849736	2.70586994	25.27916275	18.98333333	64.25	106	1	14.911	30.641	29.58	49.70333333
YBC239	2	Andean	n	CAN   79	Colombia	CIAT	CAN   79	CAN   79	Lemon yellow	Mayocoba	16.85683857	6.015834104	22.87267267	0.165611176	2.127841928	0.361301577	2.65475468	25.52742735	19.5	76.88	104	1	14.222	30.319	30.014	47.40666667
YBC199	1	Andean	n	NZ-23-15	United States	M. Brick/CSU	NZ-23-15	NZ-23-15	Greenish yellow	Mayocoba	15.72228292	7.487995281	23.2102782	0.158376036	2.318937918	0.399196061	2.876510015	26.08678821	22.76666667	71.64	118	1	16.025	32.608	31.833	53.41666667
YBC199	2	Andean	n	NZ-23-15	United States	M. Brick/CSU	NZ-23-15	NZ-23-15	Greenish yellow	Mayocoba	18.05938476	6.038479634	24.09786439	0.156814093	2.028084651	0.436518651	2.621417395	26.71928179	16.96666667	79.68	102	1	15.588	31.551	31.486	51.96
YBC207	1	Andean	n	OSU-242	United States	Jim Myers/OSU	OSU-242	OSU-242	Greenish yellow	Mayocoba	15.70693671	6.477830885	22.1847676	0.150156814	2.433460541	0.424381578	3.007998934	25.19276653	21.36666667	68.03	104	2	13.946	27.595	25.976	46.48666667
YBC207	2	Andean	n	OSU-242	United States	Jim Myers/OSU	OSU-242	OSU-242	Greenish yellow	Mayocoba	16.23135821	6.353444373	22.58480258	0.141117803	2.170607834	0.442160218	2.753885855	25.33868844	21.68333333	76.66	100	2	12.596	25.556	23.859	41.98666667
YBC212	1	Andean	n	NE-17-5	United States	Carlos Urrea	NE-17-5	NE-17-5	Lemon yellow	Mayocoba	21.57243383	5.251196232	26.82363006	0.206215761	2.162459718	0.395076738	2.763752218	29.58738228	23.15	74.01	71	2	16.064	32.229	31.919	53.54666667
YBC212	2	Andean	n	NE-17-5	United States	Carlos Urrea	NE-17-5	NE-17-5	Lemon yellow	Mayocoba	22.44209882	5.800812111	28.24291093	0.130404193	1.702031922	0.439424744	2.271860859	30.51477179	26.56666667	68.75	74	2	17.071	33.631	31.783	56.90333333
YBC176	1	Andean	y	ADP0780	Canada	Alberta-Canada	L11YL002	L11YL002	Greenish yellow	Mayocoba	18.12491466	5.043769335	23.16868399	0.247326527	2.068960022	0.461217458	2.777504007	25.946188	25.96666667	79.09	114	2	14.282	31.2	29.642	47.60666667
YBC176	2	Andean	y	ADP0780	Canada	Alberta-Canada	L11YL002	L11YL002	Greenish yellow	Mayocoba	19.89287962	4.900486306	24.79336593	0.218694109	1.877168349	0.431884767	2.527747225	27.32111316	26.25	83.59	101	2	14.051	29.4	28.568	46.83666667
YBC178	1	Andean	y	ADP0792	Puerto Rico	Univ. Puerto Rico	PR-1146-124	PR1146-124	Lemon yellow	Mayocoba	19.54498083	6.36736133	25.91234216	0.103536774	0.806069082	0.245016452	1.154622307	27.06696447	32.53333333	67.53	108	2	11.768	22.82	23.532	39.22666667
YBC178	2	Andean	y	ADP0792	Puerto Rico	Univ. Puerto Rico	PR-1146-124	PR1146-124	Lemon yellow	Mayocoba	16.3335838	8.131273522	24.46485732	0.139801343	1.283493694	0.35588308	1.779178116	26.24403544	26.45	67.32	101	2	11.881	22.898	22.853	39.60333333
YBC195	1	Andean	n	Y16505	United States	J. Kelly/MSU	Y16505	Y16505	Greenish yellow	Mayocoba	20.23131411	5.525978513	25.75729262	0.142264998	1.506015173	0.357049962	2.005330132	27.76262275	33.91666667	59.9	106	3	12.942	25.478	26.051	43.14
YBC195	2	Andean	n	Y16505	United States	J. Kelly/MSU	Y16505	Y16505	Greenish yellow	Mayocoba	18.99944597	5.114966927	24.1144129	0.14861854	1.833913115	0.362934284	2.345465939	26.45987884	28.26666667	67.33	116	3	14.259	28.26	29.544	47.53
